text,label,username,likes,datetime
"minkes...utk kelurahan wonoplumbon kec mijen banyak warganya yg isoma, tp kok di peta nihil kasus,",negative,username1,6,2021-06-23
"Aku udh vaksin 2kali ini tetep kena ...minta doanya ya semuanya...,",negative,username2,10,2021-06-23
"Gak yakin ini data realtime. Perasaan yg dilaporkan di wilayah kelurahan saya aja ada 3kali lipat lebih banyak dari yang dicantumkan disini??,",negative,username3,15,2021-06-23
"pak kemaren saya percaya bsnget dengan covid karena saya positif covid memang tidak enak banget rasanya...tapi sekarang saya tidak begitu percaya covid karena saya sudah sakit masih harus mikir. beli obat mandiri yabg tergolong mahal mikir kebutuhan yang sangat banyak sendiri sedangkan saya tidsk bisa kerja harus isolasi mandiri...disini jogo tonggopun tidak ada sama sekali...apakah saya harus tetap percaya sama covid sedangkan saya juga sudah keluar uang banyak dan tiap hari harus mikir kebutuhan sehari"" yang tidak sedikit karena gakbiss kemana"" saya untuk makan juga harus gofood setiap hari,",negative,username4,3,2021-06-23
"Sendangmulyo tambah terus ??,",negative,username5,2,2021-06-23
"Di rw saya sudah 5 x lipat dari data.,",negative,username6,4,2021-06-23
"Mksh infonya.....ayo tetap Prokes dng baik...jangan bosan tuk saling mengingatkan....jangan kendor...jangan lengah....dr kita tuk kita bersama.....??????,",positive,username7,4,2021-06-23
"sudh lapor ke rt kelurahan pukesnas dr awal positif juga tidaj ada jogo tonggo sama sekali semua benar"" mandiri,",negative,username8,1,2021-06-23
"Y ampunnnnn py kiiiii nek ngene ki??,",negative,username9,2,2021-06-23
"Yok prokes yok ??,",positive,username10,2,2021-06-23
"Smg cpt smbuh kk ??,",positive,username11,1,2021-06-24
"Ngerek meneh...??,",negative,username12,1,2021-06-23
"bar mudhun, munggah neh.. ??,",negative,username13,1,2021-06-23
"Udah seneng kmren turun yaallah naek lagi ??,",negative,username14,1,2021-06-23
"Duuh??,",negative,username15,1,2021-06-24
"Semoga dan harus pada sembuh semua aminnn,",positive,username16,1,2021-06-23
"Di wonotingal banyak min...,di rt q sendiri aja, isoman 15 orang min....,",negative,username17,1,2021-06-23
"????????????,",neutral,username18,0,2021-06-23
"??,",neutral,username19,0,2021-06-23
"??,",negative,username20,0,2021-06-23
"??????,",negative,username21,0,2021-06-23
"Lhoo naek lagi..,",negative,username22,0,2021-06-24
"Naik lagi ??,",negative,username23,0,2021-06-23
"Naek lgi??????,kbgtn bgt......yox prokes yox perketat??????,",negative,username24,0,2021-06-24
"Yok bisa yok!,",positive,username25,0,2021-06-24
"duh gustiii,",negative,username26,0,2021-06-23
"Naikk ??????,",negative,username27,0,2021-06-24
"looo kemaren dah turun lo??,",negative,username28,0,2021-06-23
"Dalam 24 jam jdi 2k :"") @username,",negative,username29,0,2021-06-23
"@username @username Tembalang lurr,",neutral,username30,1,2021-06-23
"Dan sendangmulyo selalu peringkat pertama....??,",negative,username31,0,2021-06-24
"Data ini mgkin yg isoman tdk dicatat atau dimasukkan....,",neutral,username32,0,2021-06-24
"Ini sebenarnya data fenomena gunung es,",neutral,username33,0,2021-06-24
"@username,",neutral,username34,0,2021-06-24
"Nggonku yo akeh jebule @username,",negative,username35,0,2021-06-24
"Kapan percepatan vaksin 18+? Tiap hari liat update jadwal di victori. Masih nunggu,",neutral,username36,0,2021-06-24
"Ya Allah..itu sendangmulyo kok terus naik..??,",negative,username37,0,2021-06-24
"semangat sembuhh semuaaaanyaa, yg sehatt semoga sehat terus,",positive,username38,0,2021-06-23
"Naik lagi ??,",negative,username39,0,2021-06-23
"Kukilo mukti coba dicek min... banyak disini ????????,",negative,username40,0,2021-06-23
"Kembangsari ku ??,",negative,username41,0,2021-06-23
"Sendang mulyo apa ngga ada tindakan yak? Kok datanya meroket naik terus...,",negative,username42,0,2021-06-23
"Min mijen sdh termasuk daerah rawan belum? Kok 18+ masih ditolak,",negative,username43,0,2021-06-24
"??,",neutral,username44,0,2021-06-23
"Kalau petanya warna kuning dan orange apakah berarti kota Semarang zona nya smp hari ini msh orange?,",neutral,username45,0,2021-06-24
"Kmren sdkit lega turunnya banyak skrang naik lagi ??,",negative,username46,0,2021-06-23
"Sama pak di tempat saya banyak yg kena di Cangkiran,",negative,username47,0,2021-06-24
"Ini juga pergantiaan cuaca juga kakk jadi yg gak kuat tumbang jugaaaa,",neutral,username48,0,2021-06-24
"Yg gak lapor lebih banyak... Jaga prokes,",neutral,username49,0,2021-06-24
"Knpa tlogosari kulon gk d tutup aja dlu smentara,soalnya tambah parah bgt,",negative,username50,0,2021-06-24
"Daerah rumah gw meningkat dong.... ??,",negative,username51,0,2021-06-23
"iya mb aku sama suami sama"" positif,",neutral,username52,0,2021-06-24
"Saya stlh lebaran opname Krn penyumbatan pembuluh jantung kalo vaksin bisa nggk ya Krn saya msh batuk kering ?,",neutral,username53,0,2021-06-24
"@username kenapa kl ditelp no 112 tidak ada yg angkat ?,",negative,username54,0,2021-06-25
"Berapapun angka nya, tetep tenang, jangan panik. Stress menurunkan imun. Virus ga ada obatnya. Hanya bisa di lawan dengan imunitas tubuh sendiri. Belajar bisa di IG nya dokter @username atau YouTube channel nya dokter Moh Indro Cahyono, pakar virus.,",positive,username55,0,2021-06-24
"Datanya ng akurat,mijen ada 20 kk dan jatisari lbh dr 20 kk tdk tercatat. Kami pernah laporan ke puskesmas mijen untuk memantau pasien positif covid jawabannya tdk menyenangkan. Rugas kita bukan hny itu saja mb. Ni loh pasien disini mbludak. Mohon dkk untuk menindak lanjuti??. Maturnuwun,",negative,username56,0,2021-06-24
"Naik lagi ???? jangan kendor prokes lur ????????,",negative,username57,0,2021-06-23
"Vaksinnya digencarin min,",neutral,username58,0,2021-06-23
"Kalo dgn gejala batuk tp kebanyakan org takut swab..takut hasilny positif..makanya banyak yt trrtular...aplg masih bny yg ga mau pake masker...beginilah...,",negative,username59,0,2021-06-24
"Sdh nyoba, tapi apa daya .. ditunggu gak datang2, capek lapor, ..,",negative,username60,2,2021-06-23
"Mau konsul efek habis vaksin jg bs min?,",neutral,username61,0,2021-06-23
"Kak vaksin 3in1 msh bs daftar? Lalu sy sdh dftr yg gol. Umum, apa bs di edit jd gol. 3in1? Apa hrs dibatalkan dulu yg gol umum nya, baru dftr ulang ikut 3in1? Mohon pencerahannya kak. Mksh byk,",neutral,username62,0,2021-06-23
