Tanggal,PROBABLE,SUSPECT,POSITIVE ACTIVE,CUMULATIVE RECOVERED,CUMULATIVE DEATH,NEW RECOVERED,NEW DEATH,NEW POSITIVE
2020-04-09,0,114,36,10,12,10,12,36
2020-04-10,0,117,42,22,12,12,0,18
2020-04-11,0,121,45,25,13,3,1,7
2020-04-12,0,124,50,27,14,2,1,8
2020-04-13,0,131,56,31,14,4,0,10
2020-04-14,0,145,62,36,15,5,1,12
2020-04-15,0,160,71,39,16,3,1,13
2020-04-16,0,165,86,40,17,1,1,17
2020-04-17,0,185,93,40,19,0,2,9
2020-04-18,0,191,110,41,20,1,1,19
2020-04-19,0,195,120,41,21,0,1,11
2020-04-20,0,204,125,42,22,1,1,7
2020-04-21,0,205,127,42,23,0,1,3
2020-04-22,0,208,128,42,24,0,1,2
2020-04-23,0,218,126,50,25,8,1,7
2020-04-24,0,243,148,50,29,0,4,26
2020-04-25,0,274,137,61,30,11,1,1
2020-04-26,0,267,134,70,30,9,0,6
2020-04-27,0,279,130,75,30,5,0,1
2020-04-28,0,254,118,88,30,13,0,1
2020-04-29,0,285,118,90,30,2,0,2
2020-04-30,0,278,116,94,30,4,0,2
2020-05-01,0,293,108,107,30,13,0,5
2020-05-02,0,279,109,107,30,0,0,1
2020-05-03,0,279,105,113,30,6,0,2
2020-05-04,0,297,98,132,30,19,0,12
2020-05-05,0,282,80,151,30,19,0,1
2020-05-06,0,262,86,155,30,4,0,10
2020-05-07,0,260,75,173,30,18,0,7
2020-05-08,0,258,74,182,30,9,0,8
2020-05-09,0,246,70,186,30,4,0,0
2020-05-10,0,248,68,188,30,2,0,0
2020-05-11,0,114,70,189,30,1,0,3
2020-05-12,0,85,55,202,30,13,0,-2
2020-05-13,0,91,49,211,30,9,0,3
2020-05-14,0,92,55,213,30,2,0,8
2020-05-15,0,114,54,215,30,2,0,1
2020-05-16,0,97,57,221,30,6,0,9
2020-05-17,0,99,57,224,31,3,1,4
2020-05-18,0,110,50,231,33,7,2,2
2020-05-19,0,94,47,236,34,5,1,3
2020-05-20,0,95,49,240,36,4,2,8
2020-05-21,0,85,57,249,36,9,0,17
2020-05-22,0,82,61,251,37,2,1,7
2020-05-23,0,76,75,251,37,0,0,14
2020-05-24,0,74,81,251,37,0,0,6
2020-05-25,0,85,80,252,37,1,0,0
2020-05-26,0,100,82,252,37,0,0,2
2020-05-27,0,117,86,253,38,1,1,6
2020-05-28,0,122,88,256,39,3,1,6
2020-05-29,0,120,95,260,39,4,0,11
2020-05-30,0,129,99,261,40,1,1,6
2020-05-31,0,113,115,267,40,6,0,22
2020-06-01,0,108,122,270,41,3,1,11
2020-06-02,0,129,128,276,43,6,2,14
2020-06-03,0,123,136,278,45,2,2,12
2020-06-04,0,150,149,280,47,2,2,17
2020-06-05,0,142,168,282,48,2,1,22
2020-06-06,0,205,178,289,51,7,3,20
2020-06-07,0,194,202,294,54,5,3,32
2020-06-08,0,203,210,312,57,18,3,29
2020-06-09,0,191,237,315,59,3,2,32
2020-06-10,0,218,251,320,60,5,1,20
2020-06-11,0,202,256,342,70,22,10,37
2020-06-12,0,218,238,360,71,18,1,1
2020-06-13,0,229,247,378,76,18,5,32
2020-06-14,0,240,222,399,81,21,5,1
2020-06-15,0,236,234,414,87,15,6,33
2020-06-16,0,251,246,422,92,8,5,25
2020-06-17,0,251,271,427,97,5,5,35
2020-06-18,0,252,291,432,104,5,7,32
2020-06-19,0,265,374,433,107,1,3,87
