text,label,username,likes,datetime,data_type
Kami menunggu kabar baik🙌🙌🙌,,username,0,2021-06-24,inference
Masih sabar menunggu jawaban dari @username. Tiap hari cek laman victori dan WA,,username,2,2021-06-24,inference
"Halo minkes, bisa minta tolong cek DM Instagram? 🙏",,username,0,2021-06-24,inference
"Min, saya daftar online bareng suami,tp sy sdh dpt jadwal suami belum,knp ya? Kan 1 KK min... Biar bs barengan berangkat,irit ongkos 🤭",,username,0,2021-06-24,inference
"Saya sudah daftar untuk daerah rentan, pilih Puskesmas Halmahera, kok masih belum ada jadwal terus ya, sudah 3 hari? Teman saya daftar di Puskesmas Poncol besoknya langsung dipanggil.",,username,1,2021-06-24,inference
@username @username,,username,1,2021-06-24,inference
"Perusahan kita pbf sdh daftar lama blm dapat panggilan vaksin,teman..teman pbf lain sdh 2 kali.kita sdh daftar lewat dkk dan GP farmasi mohon info?",,username,0,2021-06-24,inference
@username,,username,0,2021-06-24,inference
@username kapan ono yo?,,username,0,2021-06-24,inference
Min saya dftr lwat victori tpi kelurahan kenapa tidsk bida di klik itu knpa ya pdhl tertera klo tembalsng itu daerah rawan cov. Mohon pnjlsannya,,username,0,2021-06-24,inference
KTP Kec. Semarang Tengah sudh bisa min..?,,username,0,2021-06-24,inference
"Sy sdh daftar di victori...hhmm sampai skrg tdk ada jawaban sama sekali, dicek jadwal vaksin juga bunyinya blum ada jadwal, dkk gampang ya buat pengumuman, tp ga jelas kelanjutannya...pie jal pak Addul Ham...pie ini pie...???",,username,0,2021-06-24,inference
Yg KTP luar Semarang nasibnya gmana min ? Apakah harus pulang kampung dlu untuk vaksin di kampung halaman ?,,username,0,2021-06-24,inference
"Min , bisa share jadwal vaksin di UTC kecamatan man aja ? Karna tiap hari ternyata jadwalnya beda2 kecamatannya",,username,0,2021-06-24,inference
Makasih infonya ka🙏,,username,1,2021-06-24,inference
Alhamdulilla dh vaksin td pagi tadi aspol sambiroto .. ' pdhal smlm br daftar lwt wa..trs langsung dpt no pendaftaran ... alhamdulilla stlh vaksin aman ndk ada keluhan apa2 .. tunggu vaksin ke 2 tgl 26 juli,,username,0,2021-06-24,inference
"Mau tnya min kalau mau dftr hrus pkek nomer wa yg aktif ? Soalnya nomer wa saya sudah saya daftrkan untuk ibu saya, apakah saya harus mndaftar dgn nomer lain ?, mkasih",,username,0,2021-06-24,inference
Kami sdh daftar tp utk faskes kesehatan masih kosong. Krn alamat ktp dan domisili berbeda. Apakah proses pendaftaran ini datanya ttp tercatat dan ttp akan dihubungi? Mohon infonya min,,username,0,2021-06-24,inference
Udah 10 hari daftar blm ada jadwalnya😢😢,,username,0,2021-06-24,inference
"Min, apakah yang KTP nya luar kota bisa ikut vaksin disini? @username",,username,0,2021-06-24,inference
"Mau tanya min..kmrn sy sdh dftar, tp masuknya k umum..trnyata ada yg kategori masyarakat umum daerah rentan. Bisa diubah g y min? Mengingat daerah sy bnyak yg kena.",,username,0,2021-06-24,inference
@username kak kalau terlewat jdwl vaksin boleh lsg gabung disini ga? Saya DM kak mohon balasan na ya 🙏🏻,,username,0,2021-06-24,inference
"Sy sdh daftar di victori...tpi jawab nya ""belum ada jadwal vaksin untuk anda"" gmn ini min??",,username,1,2021-06-24,inference
"Saya ikut vaksin di prpp sdh pd tgl 21 maret dan ulangan ke 2 tgl 18 ap ,waktu saya selesai divaksin yg terakhir saya tanyakan sertivikat katanya nt akan di sms..tp sampai saat ini saya belum menerima smsnya .Harus kemana saya agar mendpt sertivikat vaksin",,username,0,2021-06-24,inference
@username,,username,1,2021-06-24,inference
Vaksin nya apa min?,,username,0,2021-06-24,inference
"Ini istri kemarin daftar, yg pertama di jadwalkan tgl 28 Juni besok unisula, kemudian kok berubah malahan di Unisula? Tgl ny jg salah min bulan ny, kok bulan 4...?? Harus ny bulan 6.. Tolong diperbaiki min di victori ny. Terimakasih. @username",,username,0,2021-06-24,inference
"Saya sdh dftr tpi blm dpt kabar kapan mau vaksinnya, minta solusinya?",,username,0,2021-06-24,inference
Cara menghapus nya gimana min.,,username,0,2021-06-24,inference
Untuk usia brp ?,,username,0,2021-06-24,inference
Sanaa pada vaksin... ga usah ditunda2... luangin waktu @username @username,,username,0,2021-06-24,inference
klo ktp demak kok ga bisa daftar ya gmn daftar nya @username,,username,0,2021-06-24,inference
Ayo vaksin @username,,username,1,2021-06-24,inference
@username,,username,0,2021-06-24,inference
@username,,username,0,2021-06-24,inference
"Sudah daftar sejak lama tp msh belum ada jadwal status nya, mohon petunjuk donk min @username",,username,0,2021-06-24,inference
"numpang tanya vaksinasi untuk area udinus, unika dan unissula ini gratis atau bayar? @username",,username,0,2021-06-24,inference
sudah daftar Min di Victori.. blm ada jadwal.nunggu wa semoga segera min🙌,,username,2,2021-06-24,inference
"Mohon info, saya mendaftarkan ibu /kategori pra lansia dan sudah dapat jadwal vaksinasi, tetapi ybs sedang demam/tidak fit. Apakah bisa diundur? Matur nuwun",,username,0,2021-06-24,inference
"Min, saya sudah daftar lama tapi kok belum dapat daftar panggilan ya",,username,0,2021-06-24,inference
Min @username blh tau vaksin yg digunakan apa?,,username,0,2021-06-24,inference
di bawah 18th sudah boleh jugakah? atau masih menunggu periode berikutnya lagi?,,username,1,2021-06-24,inference
Saya sudah daftar min kira2 tunggu sampai kpaan ya..??,,username,0,2021-06-24,inference
Selain ktp semarang bisa kah,,username,0,2021-06-24,inference
Wingi ktp luar daerah iseh iso daftar min..dino iki kok g iso ya?,,username,0,2021-06-24,inference
Ga updet ya min hariannya.,,username,0,2021-06-24,inference
"Mantap, sehat selalu timnya minkes biar bisa update infomasi terus ♥️ stay safe teman teman semua!",,username,2,2021-06-24,inference
Indennya itu lhoh pak😢,,username,3,2021-06-24,inference
@username,,username,0,2021-06-24,inference
"Ambulance Hebat Crowded, dari siang ampe malem gini blm di layani / Puskesmas hanya menerima laporan saja, udah 4 hari gak ada penanganan apapun dijenguk juga enggak",,username,4,2021-06-24,inference
@username,,username,0,2021-06-24,inference
Updatenya telat ya min,,username,0,2021-06-24,inference
Kak.. saya uda dftr kuq gag ada pilihan faskes nya ya? @username,,username,0,2021-06-24,inference
"Nangani wong loro padake tuku motor, leren inden sek 😪😪",,username,2,2021-06-24,inference
pdhl aku sm suami positif semua cari makan susah harus gofood tiap hari menuhi obat sendiri,,username,6,2021-06-24,inference
"@username ini nef, semoga bermanfaat",,username,0,2021-06-24,inference
jal daftar juga via web @username,,username,0,2021-06-24,inference
@username suami saya sdh daftar kategori masyarakat umum tapi kok tidak keluar pilihan faskesnya gimana min? Sudah diupdate.tetap.tidak.keluar pilihan faskesnya,,username,0,2021-06-24,inference
Ini vaksin yg darimana?,,username,0,2021-06-24,inference
"Maaf kak tolong ty, sy sdh daftar dari bberapa hari yang lalu tetapi kok belum dikasi jadwal vaksin nya ya kak? Padahal sudah dr bbrp hari yg lalu. Terima kasih",,username,0,2021-06-24,inference
"Kak saya sudsh coba berulang kali, namun pilihan faskes knp masih blm ada ya?",,username,1,2021-06-24,inference
Ktp kudus tapi domisili semarang bisa gx kak,,username,0,2021-06-24,inference
@username,,username,0,2021-06-24,inference
Saya sudah daftar lewat victori tapi kok tidak ada pilihan untuk faskes nya ya min? Cuma isi data dan no hp? Atau faskesnya nanti otomatis terisi?,,username,0,2021-06-24,inference
@username,,username,0,2021-06-24,inference
Lah kl ud dftr yg daerah rawan?apa hrs diulang lg dftr nya? @username,,username,0,2021-06-24,inference
Info Game android supaya gak bosan saat isolasi mandiri dong,,username,0,2021-06-24,inference
Saya sudah daftar kelompok umum min,,username,0,2021-06-24,inference
Yok bisa yok!,,username,0,2021-06-24,inference
"Poin ke 4 nanya doang ni dapat jawaban ketus 😭😭😭, mungkin capek kali yaaa",,username,1,2021-06-24,inference
@username min nomor itu bs konsul kondisi pasien covid ga?ni saya dan ibu saya positive covid isoman dirmh..cuman ibu saya kondisi punya komorbid hipertensi..skrg kondisi perute sakit mual2 terus..bs dibantu ga min.,,username,0,2021-06-24,inference
Min ini nomer wa Dan ambulance kok gak bisa dihubungi semua ya. Teman Saya sekeluarga covid semua Dan isoman. Kondisi ayahnya mulai linglung sampai buang air besar di celana. Tapi nomer dari puskesmas tidak bisa dikontak. Nomer wa ini juga tidak bisa dikontak. Ambulance juga tidak bisa,,username,0,2021-06-24,inference
sdh dftr tp utk faskes vaksinya kosong gmn ya pak @username @username sdh dicoba ulang login kok mlh No.NIP dan No.KK salah. pdhl sdh benar sesuai 🤦🏻‍♀️ duuh gmn ya,,username,0,2021-06-24,inference
"Informasi yang sangat membantu, smoga bisa efektif dan praktis dlm segala hal...salam sehat utk admint dan para pemangku kewenangan👏",,username,2,2021-06-24,inference
Sdh daftar lama di victori lewat jalur pengajar agama tp sdh 2 bulan blm ada panggilan. Tlg @username,,username,0,2021-06-24,inference
"Mohon info, saya mendaftarkan ibu saya/pralansia dan sudah dapat jadwal. Tetapi ybs sedang demam apakah bisa diundur jadwal vaksinasinya matur nuwun",,username,0,2021-06-24,inference
Min saya tinggal di Cangkiran mau ikut vaksin cara daftarnya dimana,,username,0,2021-06-24,inference
Semoga semua yang kena covid-19 bisa sembuh walaupun terpaksa isolasi mandiri 🤲🤲🤲😔😔😔,,username,4,2021-06-24,inference
@username,,username,0,2021-06-24,inference
Btw minkes kok gak ada update hari ini nambah berapa kasus lagi nih semarang? @username,,username,0,2021-06-24,inference
Minkes dapat jadwal vaksinnya itu brp lama dari daftarnya ya ??,,username,2,2021-06-24,inference
Hari ini Saya menjalani swab dan d nyatakan positive. Rt d tempat q Saya wa cuma centang.,,username,1,2021-06-24,inference
@username,,username,0,2021-06-24,inference
Min utk lansia yg sdh tdk bsa jln ke puskesmas gmn?,,username,0,2021-06-24,inference
"Mohon info, dimana bisa pilih fasker vaksinasi, saya coba berulang kali tidak ada pilihan faskes yg bisa dipilih dan akhirnya setelah simpan data isinya kosong. Apakah harus dengan browser tertentu atau diseting bagaimana lagi matur nuwun",,username,0,2021-06-24,inference
Ini tidak harus lansia ya?,,username,0,2021-06-24,inference
udah coba daftar tp jawabannya selalu no ktp dan kk tidak sesuai 😩,,username,0,2021-06-24,inference
Min vaksin nya yg AZ dimn y?,,username,0,2021-06-24,inference
"Virus kan gak pernah nanya, kamu domisilinya mana? KTP dalam apa luar kota?.... Kalo birokrasi ribet akhirnya kalah duluan sama penyebaran virus itu sendiri 😔",,username,0,2021-06-24,inference
@username,,username,0,2021-06-24,inference
"Min, saya daftar vaksin kok tidak bisa pilih lokasi vaksinasi ya? Sedangkan adek saya ada pilihan lokasi vaksinasi.. 2",,username,0,2021-06-24,inference
Caranya gmn ... saya mau daftar min,,username,1,2021-06-24,inference
Kalau petanya warna kuning dan orange apakah berarti kota Semarang zona nya smp hari ini msh orange?,,username,0,2021-06-24,inference
"Datanya ng akurat,mijen ada 20 kk dan jatisari lbh dr 20 kk tdk tercatat. Kami pernah laporan ke puskesmas mijen untuk memantau pasien positif covid jawabannya tdk menyenangkan. Rugas kita bukan hny itu saja mb. Ni loh pasien disini mbludak. Mohon dkk untuk menindak lanjuti🙏. Maturnuwun",,username,0,2021-06-24,inference
Dan sendangmulyo selalu peringkat pertama....😢,,username,0,2021-06-24,inference
Ktp luar semarang tp kerja di semarang bisa ndak?,,username,3,2021-06-24,inference
Mohon maaf admin.. Kloboleh tau jenis vaksin yg di suntikan ap y.. Antrazeneca? Sinovac? Atau?,,username,3,2021-06-24,inference
"@username hari ini ortu sy dapat jadwal vaksinasi tp ternyata sedang sakit. Sy mau tanya, kira2 ada jadwal susulan atau harus daftar online lagi nggih? Terima kasih...",,username,0,2021-06-24,inference
