username,text,likes,datetime
username,"Have a nice day, dear.. 😘",0,2018-12-01
username,Mantaap,0,2018-12-08
username,Ijin repost yaa min @username 🙏,0,2018-12-09
username,Mantaappp....langsung instal nih @username,0,2018-12-09
username,Mantaaap👍,0,2018-12-09
username,#proud ✊✊✊👏👏👏,0,2018-12-09
username,Lembongan Island Bali tour contact tourpulaubali.com,0,2018-12-10
username,@username @username,0,2018-12-11
username,@username gejala tbc itu seperti apa ya?,0,2018-12-12
username,"Anak2 biasanya tertular yg dewasa.seharusnya pasien tbc lebih mawas diri.pakai masker kemana2 dan tidak buang dahak sembarangan.karna tbc ini mudah sekali menular.kasihan anak2,skoring tb tidak mudah tidak seperti pada org dewasa.",1,2018-12-13
username,Nice kk😊,1,2018-12-22
username,"Ehh, senggol @username @username @username",0,2018-12-22
username,Kereeennnn 👍👍,0,2018-12-22
username,@username @username manfaatin guys jos ini.. 😁,1,2018-12-22
username,@username,0,2018-12-23
username,Mba jin nya favorit ku min. Kalo mimin mana yg terfavorit?,0,2018-12-23
username,Semoga bisa germas setiap hari 🍇🍈🍉🍊🍑🍎🍓🍒🥕🍄🌶️🌽,1,2019-01-02
username,Semoga kerjaanya lancar.,1,2019-01-02
username,Semangat tahun baru ya min. Love you 😘,0,2019-01-02
username,"Waaww, terimakasih Gasurkes. Pahlawan Kesehatan tanpa tanda jasaa",0,2019-01-03
username,@username terbaik pertama? Wow... Selamat....👍🙌🎉,0,2019-01-03
username,@username Sangarr ndaaa 😘😘,0,2019-01-03
username,Selamat ya opik 😗 @username,0,2019-01-03
username,Kerennn 💕💕,0,2019-01-04
username,😍😍😍😍😍😍,0,2019-01-04
username,Waaah Ibu kesayangan Indonesia ❤️,0,2019-01-05
username,@username sename semangat banget,1,2019-01-06
username,Pibesde @username salam sehat ya,0,2019-01-06
username,Gowes mas @username 😂,1,2019-01-06
username,Gowes mas @username 😂,1,2019-01-06
username,"Gowesnya nggak ikutan min, ikut nyawang pak Gub @username ajaaa. Idolaa kita semua. Sist @username @username",2,2019-01-06
username,"Min jangan lupa bahagia juga ya, ❤️",2,2019-01-07
username,Tidur 7-8jam sehari sepertinya mitos min :'),1,2019-01-07
username,Betul...air putih 40cc x berat badan,1,2019-01-07
username,"Poin lima asal jangan ketawa"" sendiri ya min 😅",0,2019-01-07
username,"Mnrtku bapake ini gg gowes klo d kota, levele wis AKAP",0,2019-01-07
username,👍,0,2019-01-08
username,Untuk vaksin DPT2 kenapa kosong ya di kab.blora??,0,2019-01-08
username,Mantap,0,2019-01-09
username,Walah kesepian,0,2019-01-10
username,Ono ya kesepian... Marai lelah,0,2019-01-10
username,Kesepian emang bikin cepet lelah min. Kaliaan jangan kayak gini ya @username @username @username @username,1,2019-01-10
username,"Tiati lur, air genangan biasanya jadi tempat berkembang biak nyamuk penyebab DBD. Berantas semua genangan termasuk genangan kenagan bersama mantan yes sis @username @username",0,2019-01-16
username,Dinkes kota semarang keren,2,2019-01-16
username,have a nice day 😊😊,1,2019-01-17
username,"Selamat siang, saya mau tanya/komplain tentang STR Online, Saya mau registrasi STR Online tapi kenapa PIN saya kok belum ada ya.. Padahal saya sudah mencantumkan Email, NIK, dan captcha saya untuk dapat PIN itu tapi belum dapet balesannya dari pihak KTKI dan saya sudah menghubungi pihak KTKI lewat via DM dan via email ke pihak KTKI selama 3 hari tapi belum dapat solusi dan belum dapat PIN untuk registrasi STR Online.. Apakah saya harus ke MTKP untuk menanyakan hal tersebut?? Dan apa solusi anda?? Mohon solusi nya.. terima kasih.. @username",0,2019-01-18
username,Sukses buat bunda maysilina....,0,2019-01-19
username,Assalamualikum. .. Maaf mau tanya kalau melahirkan pake UHC gk bs langsung ke rumah sakit ya.?? Suwun,0,2019-01-23
username,Semoga banyak manfaatnya . Good job.,2,2019-01-26
username,"Kudu rutin periksa genangan genangan di lingkungan nih. Jangan sampai genangan lama muncul kembali, nanti susah move on.",0,2019-01-31
username,Kalau mau panggil foging gmn ya caranya,0,2019-01-31
username,😎😎😎😎,0,2019-02-05
username,Kepala min bukan kepada 😆,0,2019-02-08
username,"Yang gak punya penampungan air, periksa lingkungan sekitar. Mungkin ada ember atau kaleng yang perlu diatasi",0,2019-02-08
username,Punyaku habis di bersihin kok ada jentik² banyak ya 😢 baru dikuras jarak 2-5 hari muncul terus,0,2019-02-09
username,❤️,0,2019-02-12
username,"Mantul, mantap betul😍😍😍",1,2019-02-14
username,@username enyahkan yah,0,2019-02-20
username,Assalamualaikum semoga rezekinya lancar,0,2019-02-20
username,Ya Allah...raiku to koyok wong penyakiten iwk 😂🙊,1,2019-02-21
username,mantul 👏👍,0,2019-03-01
username,Di wilayah RW 01Banyumanik sudah terjangkit...8anak 2 dewasa..@username,1,2019-03-04
username,Semangat lur,0,2019-03-04
username,👏👏👏😃👍,1,2019-03-04
username,Pak gmn caranya klau mengurus UHC 🙏,0,2019-03-05
username,Ini apa ya kak?program apa maksus saya,0,2019-03-05
username,Njih...Rt02/Rw01 kelurahan banyumanik...sebagian opname..sebagian udah pada pulang...@username,1,2019-03-05
username,"Untuk tau kartunya sudah jd atau belum gimana ya pak ? Saya sudah pernah bikin untuk anak saya, tp sampai saat ini blm ada kabar (yg katanya dihub lewat no.hp)",0,2019-03-05
username,Kalau bayi umur 3 bulan sudah boleh didaftarkan pak?,0,2019-03-06
username,Sudah ditindak lanjuti oleh puskesmas setempat tgl 5 dan hari ini....terima kasih..@username,0,2019-03-08
username,"Lalu, kalau mau ngurus bpjs darurat, menunggu hari senin?",1,2019-03-09
username,Apakah besok minggu 10 maret 2019. Kantor dkk buka?,1,2019-03-09
username,Sukses selalu dengan inovasi² baru nya @username @username,1,2019-03-11
username,"Pak mau menanyakan, kalau info event dinkes kota semarang yang bisa diikuti masyarakat umum dapat dilihat dimana njih? @username",0,2019-03-14
username,Semoga hari nya menyenangkan😊,1,2019-03-15
username,Kerenbro,1,2019-03-16
username,Maaf mau tanya kalo kartu uhc hilang apakah bs mengurus minta kartu uhc yg baru? bagaimana cara & syaratnya mengurus?terimakasih admin...,0,2019-03-25
username,Sukses dan bermanfaat selalu🔵🙏,1,2019-03-25
username,🉑💢Salam Hormat...🙏 🌐Salam kenal Sahabat medis & Semoga sukses & bermanfaat 🔵 sejawat tenaga medis se Indonesia 🇮🇩 salam dari kami #eventpelatihankhitan 🈯,1,2019-03-25
username,Sukses selalu Kk,1,2019-03-25
username,Semoga bermanfaaat🔵🙏,1,2019-03-25
username,Selalu berinovasi dan bermaanfaat🌐🔵🙏,1,2019-03-25
username,Selamat ulangtahun bapak💕💕,1,2019-03-30
