date,neutral,positive,negative
2020-03-03,1,1,0
2020-03-06,2,0,0
2020-03-11,1,1,0
2020-03-16,3,1,4
2020-03-17,0,0,3
2020-03-18,2,0,1
2020-03-19,1,0,2
2020-03-20,0,2,1
2020-03-21,2,0,0
2020-03-22,4,0,0
2020-03-23,3,1,0
2020-03-24,1,1,3
2020-03-25,0,0,4
2020-03-26,0,0,1
2020-03-27,1,0,0
2020-03-28,2,0,3
2020-03-29,2,0,0
2020-03-31,1,0,0
2020-04-03,2,0,2
2020-04-04,2,0,2
2020-04-05,2,1,0
2020-04-07,1,0,1
2020-04-09,1,0,4
2020-04-10,3,1,1
2020-04-12,0,0,1
2020-04-14,1,0,1
2020-04-15,1,0,0
2020-04-16,0,3,0
2020-04-18,0,1,1
2020-04-20,1,0,0
2020-04-21,1,1,2
2020-04-22,2,0,0
2020-04-24,1,0,0
2020-04-28,0,1,1
2020-04-29,0,9,2
2020-04-30,0,12,0
2020-05-01,0,2,0
2020-05-02,0,1,0
2020-05-03,0,2,0
2020-05-04,0,2,0
2020-05-06,0,0,1
2020-05-07,1,3,0
2020-05-08,0,0,2
2020-05-10,1,2,0
2020-05-11,0,1,0
2020-05-12,0,3,0
2020-05-13,1,0,0
2020-05-14,0,1,0
2020-05-15,1,0,1
2020-05-16,1,0,1
2020-05-17,1,4,2
2020-05-18,1,3,0
2020-05-19,4,10,1
2020-05-20,1,4,0
2020-05-21,1,2,3
2020-05-23,0,1,1
2020-05-24,1,0,0
2020-05-25,0,3,5
2020-05-26,1,1,1
2020-05-27,2,1,3
2020-05-28,2,1,5
2020-05-29,6,0,2
2020-05-30,1,1,1
2020-05-31,4,1,1
2020-06-01,1,3,2
2020-06-02,1,0,2
2020-06-03,11,1,12
2020-06-04,4,13,13
2020-06-05,6,7,25
2020-06-06,3,2,12
2020-06-07,3,7,14
2020-06-08,6,5,30
2020-06-09,5,5,29
2020-06-10,9,2,17
2020-06-11,5,17,8
2020-06-12,8,3,15
2020-06-13,6,10,18
2020-06-14,7,2,4
2020-06-15,5,12,11
2020-06-16,8,12,12
2020-06-17,12,5,7
2020-06-18,10,3,14
2020-06-19,5,5,9
2020-06-20,7,4,14
2020-06-21,12,3,15
2020-06-22,10,0,10
2020-06-23,5,3,13
2020-06-24,7,4,13
2020-06-25,7,10,17
2020-06-26,4,5,15
2020-06-27,4,1,11
2020-06-28,3,13,19
2020-06-29,2,4,18
2020-06-30,4,3,10
2020-07-01,6,8,19
2020-07-02,4,3,25
2020-07-03,5,5,21
2020-07-04,1,2,9
2020-07-05,0,2,18
2020-07-06,6,2,14
2020-07-07,7,6,12
2020-07-08,8,14,23
2020-07-09,5,13,11
2020-07-10,16,13,5
2020-07-11,14,23,6
2020-07-12,4,10,12
2020-07-13,3,10,11
2020-07-14,3,7,12
2020-07-15,7,7,17
2020-07-16,6,7,13
2020-07-17,3,11,13
2020-07-18,4,13,4
2020-07-19,7,10,10
2020-07-20,9,17,17
2020-07-21,10,21,13
2020-07-22,9,13,17
2020-07-23,4,10,7
2020-07-24,6,9,1
2020-07-25,6,15,19
2020-07-26,1,5,7
2020-07-27,7,5,5
2020-07-28,16,21,9
2020-07-29,5,11,8
2020-07-30,3,2,9
2020-07-31,4,5,2
2020-08-01,4,21,10
2020-08-02,1,8,3
2020-08-03,7,8,10
2020-08-04,6,9,3
2020-08-05,13,20,7
2020-08-06,0,13,2
2020-08-07,6,15,12
2020-08-08,1,3,7
2020-08-09,2,3,6
2020-08-10,5,5,21
2020-08-11,4,2,9
2020-08-12,5,3,9
2020-08-13,3,13,6
2020-08-14,13,5,13
2020-08-15,5,12,12
2020-08-16,2,4,9
2020-08-17,3,0,4
2020-08-18,2,4,6
2020-08-19,4,13,1
2020-08-20,2,12,4
2020-08-21,2,9,10
2020-08-22,0,8,10
2020-08-23,2,4,9
2020-08-24,4,3,23
2020-08-25,1,11,10
2020-08-26,1,19,5
2020-08-27,6,2,8
2020-08-28,1,0,4
2020-08-29,3,1,14
2020-08-30,3,5,13
2020-08-31,6,23,11
2020-09-01,9,6,22
2020-09-02,2,0,5
2020-09-03,6,10,16
2020-09-04,8,5,5
2020-09-05,1,3,3
2020-09-06,3,6,4
2020-09-07,4,2,9
2020-09-08,7,0,13
2020-09-09,6,3,24
2020-09-10,8,5,16
2020-09-11,9,6,20
2020-09-12,5,5,13
2020-09-13,2,7,17
2020-09-14,3,10,4
2020-09-15,0,13,2
2020-09-16,3,9,4
2020-09-17,9,7,6
2020-09-18,11,1,6
2020-09-19,22,12,16
2020-09-20,16,11,19
2020-09-21,16,13,10
2020-09-22,4,7,5
2020-09-23,13,14,27
2020-09-24,11,2,19
2020-09-25,7,6,11
2020-09-26,3,3,6
2020-09-27,10,2,15
2020-09-28,2,4,6
2020-09-29,3,2,12
2020-09-30,15,6,9
2020-10-01,9,2,11
2020-10-02,9,4,5
2020-10-03,4,2,20
2020-10-04,7,0,3
2020-10-05,8,4,10
2020-10-06,8,3,17
2020-10-07,2,4,5
2020-10-08,3,0,8
2020-10-09,3,0,2
2020-10-10,1,2,4
2020-10-11,3,1,3
2020-10-12,3,1,8
2020-10-13,5,3,10
2020-10-14,14,10,0
2020-10-15,4,6,4
2020-10-16,0,5,4
2020-10-17,5,7,3
2020-10-18,2,5,1
2020-10-19,15,4,1
2020-10-20,4,2,0
2020-10-21,4,9,0
2020-10-22,6,9,3
2020-10-23,3,6,7
2020-10-24,3,4,4
2020-10-25,1,1,4
2020-10-26,5,6,0
2020-10-27,4,13,7
2020-10-28,2,8,3
2020-10-29,0,3,5
2020-10-30,6,1,0
2020-10-31,3,6,13
2020-11-01,4,5,1
2020-11-02,2,4,6
2020-11-03,10,4,1
2020-11-04,4,5,2
2020-11-05,5,2,3
2020-11-06,6,1,5
2020-11-07,9,1,24
2020-11-08,1,3,14
2020-11-09,4,3,1
2020-11-10,6,1,15
2020-11-11,4,3,12
2020-11-12,7,2,11
2020-11-13,5,1,15
2020-11-14,4,2,9
2020-11-15,1,4,3
2020-11-16,1,0,1
2020-11-17,3,3,5
2020-11-18,0,1,3
2020-11-19,2,7,0
2020-11-20,5,6,5
2020-11-21,3,4,3
2020-11-22,4,2,2
2020-11-23,6,5,7
2020-11-24,3,0,1
2020-11-25,5,2,9
2020-11-26,1,11,2
2020-11-27,3,1,6
2020-11-28,4,2,14
2020-11-29,3,4,23
2020-11-30,5,5,16
2020-12-01,1,2,8
2020-12-02,1,6,14
2020-12-03,1,2,13
2020-12-04,16,10,10
2020-12-05,4,2,9
2020-12-06,5,4,9
2020-12-07,3,2,2
2020-12-08,3,0,5
2020-12-09,3,6,3
2020-12-10,9,3,8
2020-12-11,6,3,9
2020-12-12,2,1,2
2020-12-13,1,1,3
2020-12-14,4,5,12
2020-12-15,5,6,26
2020-12-16,5,4,2
2020-12-17,7,7,4
2020-12-18,2,7,9
2020-12-19,6,9,12
2020-12-21,2,7,2
2020-12-22,4,7,10
2020-12-23,2,0,2
2020-12-24,2,8,16
2020-12-25,9,8,14
