text,label,username,likes,datetime
🔥,negative,username1,0,2020-11-02
Naik Turun maju can5ik 😂😂😂😂,neutral,username2,1,2021-03-29
Prosentase tingkat kematian karena covid 19 utk warga kota semarang berapa Pak?,neutral,username3,0,2020-09-22
"Rapid test/ test swab PCR Di DKK/dinkes Semarang betul kah? Mohon dijawab,, menbingungkan sekali infonya",negative,username4,0,2020-05-29
"Min, area pedurungan bs dilakukan dmn,",neutral,username5,0,2021-06-22
Ayo sendangmulyo medhun menehhh,positive,username6,1,2020-12-19
Bringin meroket,negative,username7,0,2020-08-13
Alhamdulillah .. Semoga selanjutnya jg turun terus .. Aamiiin,positive,username8,0,2020-09-06
Nenk kebun binatang kie nyenengke anake lha neg anak ke rak entuk di jak lha trus piye???? Piye ya kadang heran saya,negative,username9,2,2020-07-20
Kuwi seng mesti tak pikir bendino 😭,negative,username10,1,2020-07-02
💩💩💩💩💩,negative,username11,0,2021-01-23
Alhamdulillah turun smg cepet membaik...,positive,username12,2,2021-01-11
Semoga Corona ini cepat berlalu😢😢,positive,username13,0,2020-07-28
Bahaya... bahaya... wis gak usah onok pemilu tambah abang mbranang! 😢 wis neng omah wae!,negative,username14,2,2020-11-29
fiks ni yang ngedit nya EXOL:v,positive,username15,0,2020-08-31
Semoga Allah ta'ala segera menghilangkan corona ini ..aamiin,positive,username16,1,2021-03-23
"Pengalaman saya, minta warga yg isoman utk menyediakan meja diteras depan, sehingga saat kami salurkan bantuan kami letakkan dimeja dan konfirmasi by wa ke ybs..",positive,username17,3,2021-06-18
"Ayoooooooo warga semarang semangat patuhi PROKES dan selalu prokes #DRS,",positive,username18,0,2021-06-12
Update data Jumat nya mana....,neutral,username19,1,2020-07-10
"Bapak mohon dipasar regol bugangan klo sidak pagi hari jam 06.00 / jam 07.00 wib padatnya hilir mudik pedagang,pembeli yg hanya lewat di pasar regol bugangan masih ada yang tidak mematuhi prokes covid -19.Maaf bapak aku aja pernah melihat dengan mata kepala aku sendiri pegawai PNS itu teman aku sendiri lewat jalan barito berbondong -bondong tidak pakai masker dan aku berani tegur malah teman aku yg PNS tertawa dan aku bilang Lha yo dirimu pegawai pemerintah malah ra go masker tapi yen masyarakat biasa malah di kasih hukuman ki piye jal .Bugi sering lihat pegawai pemerintah yg naik kendaraan tidak pakai masker tapi bugi takut menegur kecuali klo itu teman yg bugi kenal baru berani tak tegur.Wassalamualaikum wr.wb.",negative,username20,2,2021-05-18
"??,",neutral,username21,0,2021-06-08
Ada yg tau lokasi rapid test antigen di smrg gk ya?,neutral,username22,1,2020-12-17
Harusnya makan pepes dulu buat jaga daya imunitas tubuh :(,negative,username23,0,2020-12-22
"Agar tidak salah persepsi, data yang diupdate pada pukul 16:00 wib tiap hari adalah data pasien +Covid19 (jumlah dan asal kelurahan) yang masih dalam perawatan RS, termasuk pasien dari luar Kota Semarang. Update konfirmasi kasus per hari Covid19 dapat dicek di siagacorona.semarangkota.go.id Data jam 21:00 wib hari ini, Konfirmasi Kasus Covid19 di Kota Semarang yang diolah dari sumber data siagacorona.semarangkota.go.id +Covid19 : 140 orang Sembuh : 115 orang Meninggal : 22 orang Alhamdulillah banyak yang sembuh (115), tapi masih banyak ditemukan kasus baru (140), dan cukup banyak yang meninggal (22) semoga husnul khotimah.",neutral,username24,10,2020-07-28
"Pak/buk saya nakes, feb kmrn sdh dpt undangan vaksin di PW citarum tpi krn saat itu kondisi baru 1minggu sembuh dr Covid jd jdwal vaksin saya disuruh tunda sampe 3bulan. Skrg sdh lbh dr 3bulan tpi blm ada undangan vaksin lagi saya mau daftar ulang di link percepatan vaksin nakes, pendidik di status saya keluar vaksin pertama di pw Citarum tgl 25/2/21 saya sdh coba kontak pw citarum tapi msh blm bisa mendaftar lagi. Mohon solusinya pak/buk?,",neutral,username25,0,2021-06-16
Ayo disiplin.. ngaliyan 🤦🏻‍♀️🤦🏻‍♀️,positive,username26,1,2021-01-25
@username,neutral,username27,1,2020-08-18
Tembalang.... Merah merona.....,negative,username28,0,2020-12-07
jd parno....tiap hari nambah iust😞,negative,username29,0,2020-06-06
"Minkes tnya donk,suami saya terdaftar vaksin BUMN,hrs ny tgl 12 april kmrn,tp baru diberitahukan kmrn,bisa kah menyusul?",neutral,username30,0,2021-05-07
Alhamdulillah turunn banyakkk,positive,username31,0,2020-08-01
"Nak sing kerja disalatiga piye... Soale libur kerja kan h-1. Malah ada info kerja hr raya ttp masuk. Keluar masuk salatiga semarang, smrg salatiga piye min?",neutral,username32,1,2021-04-29
"Sangat bagus...bagaimana jika dilakukan di kampung² yg saat ini penderita covid makin tidak terkendali....paling tidak balai kelurahan yang dirasa rentan penularannya..,",positive,username33,4,2021-06-18
Saya sdh daftar kok di faskes msh kosong ,negative,username34,0,2021-06-22
"min @username apa betul sudah ada FORM ISIAN DATA vaksin covid seperti DM saya terlampir, yang sudah diedarkan via WA? Yang katanya pengisian terakhir tanggal 26 Oktober ini..",neutral,username35,0,2020-10-21
Vaksinnya merek apa min? Sinovac bukan? ,neutral,username36,0,2021-06-21
Apa sudah dilakukan uji test vaksin tahap 3 min.. krn tahap 3 yg akan menentukan apakah vaksin tersebut bener2 aman..krn kondisi tubuh dn emosional masing2 orang2 berbeda beda termasuk reaksinya setelah penggunaan vaksin tersebut,neutral,username37,5,2021-01-12
Bukannya jateng sdh 11rb pasien? Data yg bnr yg mana?,neutral,username38,0,2020-11-25
Bagaimana cara mendaftar UHC ? Syaratnya apa saja?,neutral,username39,0,2021-05-21
Salut banyak orang semakin kritis demi kebaikan semuanya,positive,username40,0,2020-09-21
"Berikan keajaiban ya Alloh utk mereka, dan berikan ketabahan utk keluarganya",positive,username41,1,2021-04-24
Orak kuat mudun sampe dibawah 200.,neutral,username42,0,2021-04-07
Jk melihat yg di daerah lain misalnya purwokerto. Melihat nya dimana,neutral,username43,0,2020-06-12
"Alhamdulillah..makin banyak yg sembuh..makin turun kasusnya..semoga dengan diperketatnya PKM, kasus di Semarang makin turun lagiiii sampe 0..aamiin yaa Allah..minkes semangat terus, sehat selalu ya.. 😘👍👍",positive,username44,2,2021-01-11
"Alhamdulillah turun 1,",positive,username45,0,2021-06-16
kenapa dgn semarang?...,neutral,username46,0,2020-11-29
"Jika ada gejala kearah covid, untuk cek swab nya dimana ya? Di puskesmas biasanya di antigen",neutral,username47,0,2021-01-11
Mksh infonya.......tetap smangat tuk slalu mengingatkan......siapa lg kalo bukan kita......jaga stamina...jangan bosan.....positif....pasti bisa....🙏🙏🙏,positive,username48,4,2021-01-11
Smoga seluruh kota semarang segera terbebas dari corona,positive,username49,8,2021-03-22
"Ya Allah Tlogosari sampe 40????,",negative,username50,1,2021-06-17
"Lihat sekilas kirain grafisnya @username, ternyata punya DKK. Kerenn 👏",positive,username51,0,2021-03-25
😂😂😂itu pas ngomong sama burungg merpati😂😂😮😮 pak dinas nonton juga yakk,neutral,username52,0,2021-04-25
"Virus corona jenis baru dari India ditemukan di sampel pasien covid Kudus...saya baca di berita online hari ini..penyebarannya sangat cepat sekali..pak @username tolong batasi mobilisasi warga,batasi kegiatan masyarakat pak...PKM ketat kalau tidak mgkn rs akan kolaps nanti...,",negative,username53,13,2021-06-13
Tlogosari Kulon juaraaaaa 😭😭😭😭😭😭😭,negative,username54,0,2021-01-16
"Min, kok hasilnya baru keluar setelah 16 hari yo min? Klo pasien positif selama 16 hari dia bisa aja nular in ke org2 lain. Gimana?",negative,username55,0,2020-06-25
Wah lagu EXO 🥰😍.,positive,username56,6,2020-08-31
"Jangan lengah, tetap patuhi prokes dan 3M nyaa. . . .. SEMARANGISO",positive,username57,0,2021-03-05
Kalau naik lagi kapan sekolah nyaa,neutral,username58,0,2021-05-27
"wah Pedurungan Tengah ada cluster baru ya, nambah terus iq",negative,username59,0,2020-10-13
👏👏👍👍👍,positive,username60,1,2020-12-09
@username,neutral,username61,0,2020-04-13
"Genuk kok nambah trus😢😢, ayo warga genuk semangat lawan corona biar bsa 0 kasus",negative,username62,1,2020-06-18
Min please baca dm....sebaran tiap kelurahan benar apa hoax....biar masyarakat semarang tercinta yakin akan keamanannya..please..please,negative,username63,0,2020-03-24
Lamper tengah nambah lagi aja,negative,username64,1,2020-08-16
🙏🏻😊,positive,username65,1,2020-07-11
"Penjual makanan nya dsmg pada ga pake masker,, bebas tenan😂",negative,username66,1,2020-07-09
"@username @username @username @username @username ini yg kemaren mbok sebarke to yog, jarene rak jalan2 ik",neutral,username67,1,2020-09-20
"Mksh infonya.....ayo semuanya jangan kendor....jangan lupa...ini blm slesai....jangan lengah, pasti bisa....awali dr diri kita sendiri tuk sesama....jaga stamina n kesehatan....🙏🙏🙏",positive,username68,2,2021-05-12
Semoga turun terus sampai 0 (nol). Kota Semarang bebas dari corona.,positive,username69,7,2020-10-27
Mijen stay safe!,positive,username70,0,2020-06-29
Tenan e?,negative,username71,0,2020-09-09
"Updatenya telat ya min,",negative,username72,0,2021-06-24
Min tanggal 20 kok belun keluar ,negative,username73,0,2021-06-21
"Min, saya tidak dapat sms padahal hari ini vaksin di prpp, ternyata institusi saya salah masukin nomer hp, solusinya gmn y?",neutral,username74,0,2021-03-25
Mksh infonya...smoga semuanya tetap jaga stamina.....jangan bosan tuk slalu mengingatkan....ini semua tuk kita bersama...🙏🙏🙏,positive,username75,1,2020-10-28
Caranya merokok tapi wajib masker gimana min?,neutral,username76,0,2020-09-24
"Maaf mau tanya, jadwal vaksin guru satu sekolah memang beda ya min? Padahal kami daftar satu sekolah secara kolektif tapi jadwal yang kami dapat beda² gitu ya? Ada yang udah dapat jadwalnya dan ada juga yang belum.",neutral,username77,0,2021-04-11
Apa kabar semarangku ❤️,positive,username78,0,2020-06-24
"Tiap pagi masih berjubel padat , walau ada yg pakai masker, tapi juga byk yg abai,....jln raya kauman seputar masjid, palebon",negative,username79,0,2021-01-28
@username,neutral,username80,0,2021-06-20
Smoga Allah segera bersihkan corona dari muka bumi ini... Aamiin aamiin ya robbal alamiin,positive,username81,3,2020-12-26
Nyimak yang dimaksud daerah rentan ,neutral,username82,1,2021-06-21
